pitch_id,pitcher_id,pa_of_inning,pitch_of_pa,inning,outs,balls,strikes,batter_side,pitcher_throws,pitch_type,pitch_call,rel_speed,spin_rate,tilt,rel_height,rel_side,extension,vert_break,induced_vert_break,horz_break,plate_loc_height,plate_loc_side,strike_prob,runner_on_first_id,runner_on_second_id,runner_on_third_id,post_runner_on_first_id,post_runner_on_second_id,post_runner_on_third_id,hit_type,play_result,direction,exit_speed,angle,distance,bearing,venue
b5104550-aa81-4348-b678-844fd41b05fa,player_b,5,3,7,2,2,0,right,left,four_seam,in_play,94.72503043,2298.37682,10:30,5.789315111,-2.16672597,5.680238057,-16.35915957,14.15068531,-10.4816783,2.492297493,-0.049705566,0.985353172,676782,665138,,,672478,,hard_fly_ball,double,14.1503879,104.1070068,22.03201923,371.1890105,25.79067746,Sutter Health Park
65267096-105e-40ff-b492-b73eae0d45bc,player_a,4,7,4,2,3,2,right,right,four_seam,ball_called,92.415612,2496.532422,1:00,5.516239,1.862005,5.904372,-24.027393,8.987191,11.629598,4.105959,0.911184,0.001729739,,,,,,,,,,,,,,UPMC Park
ad05749d-b990-44d7-bbeb-9b2e74fa94f5,player_b,5,2,4,2,1,0,right,left,four_seam,strike_called,94.31446458,2320.92183,10:30,5.708689547,-2.351817742,5.745724448,-13.80571186,16.20106314,-6.091501276,2.555107558,0.12622248,0.981436074,673451,,,673451,,,,,,,,,,Southwest University Park
2f59aaf6-3a9d-4ac1-a8b0-6ed0e90a5e27,player_b,2,1,1,1,0,0,right,left,curveball,ball_called,73.83435056,2412.441163,4:45,5.91637261,-2.137141894,5.424727072,-51.02889592,-0.697647552,7.793626492,0.981453687,-0.607553405,0.012117036,,,,,,,,,,,,,,Sutter Health Park
2f3fecb5-58a5-4d7f-ae4b-0672fd53e6e7,player_b,3,3,2,1,2,0,right,left,four_seam,ball_called,92.53529466,2173.72677,10:15,5.637861891,-2.227091616,5.63816056,-19.54813131,12.34602481,-11.32583233,2.632068885,-0.972032903,0.665310681,,,,,,,,,,,,,,Sutter Health Park
f039bca5-13f6-49a6-9326-9fe4a42446ae,player_a,2,1,1,0,0,0,right,right,curveball,ball_called,81.9255,2365.374472,7:00,5.7473,1.69699,5.62926,-53.4291,-11.45693,-6.58426,1.32533,-1.88493,0.001795391,687019,,,687019,,,,,,,,,,NaturalGasField
8f78f99a-ba39-448f-9f36-fc0f5e1bcb76,player_a,4,1,4,1,0,0,right,right,four_seam,in_play,92.292744,2433.678592,1:15,5.448671,1.651655,5.93502,-25.543878,7.376692,7.792934,2.776567,-0.074504,0.983495295,687833,687401,,668789,687833,687401,hard_ground_ball,single,-0.911992,95.236357,-4.42071,26.040617,-0.751666,The Diamond
1fbdb340-ed72-4002-b25b-3a44d4c20191,player_a,6,5,3,2,2,2,left,right,curveball,strike_called,85.466348,2490.669267,7:00,5.559627,2.421554,6.001962,-48.500135,-10.460572,-7.691392,2.297858,0.389672,0.963771999,,686639,,,,,,,,,,,,The Diamond
e657df05-a8f2-4451-9cad-a52688bebca3,player_a,4,2,2,0,1,0,right,right,slider,ball_called,84.441312,2505.828729,7:00,5.481702,1.715626,6.062742,-44.380992,-5.039075,-10.111202,0.729382,-0.898547,0.009939632,687833,687401,669898,668789,687401,669898,,,,,,,,The Diamond
61ecb2cd-db0c-441e-a354-121a5ee575dc,player_a,1,3,1,0,1,1,left,right,slider,strike_swinging,84.827397,2541.286808,7:15,5.526973,2.152972,5.987249,-38.939835,0.546486,-8.94714,1.358888,-1.629574,0.003226609,,,,,,,,,,,,,,The Diamond
0a29c12d-ef06-4f07-9a30-41aa2da76fe4,player_a,1,4,2,0,2,1,left,right,curveball,strike_called,82.79828,2402.501415,7:30,5.71651,1.64891,5.75686,-55.72619,-14.51757,-17.35147,3.14272,0.12004,0.929864705,,,,,,,,,,,,,,PrinceGeorge
46a624ed-9a0a-4e2d-aa37-9b547416a744,player_b,4,2,1,1,0,1,right,left,four_seam,strike_called,93.96312215,2175.967722,10:45,5.796821635,-2.140827777,5.564904359,-19.42140722,10.5533235,-7.368437567,2.656261039,0.594051021,0.929915309,605504,,,605504,,,,,,,,,,Smith's Ballpark
0099f38b-948c-4f11-928b-bbb106f60683,player_a,2,2,3,1,0,1,left,right,slider,foul_ball,84.583593,2635.009035,7:15,5.335263,2.466089,5.954059,-35.360734,3.964439,-8.658929,2.178211,-0.847664,0.384146869,,,,,,,,foul_ball,,,,,,Delta Dental Stadium
89b7622e-c5f8-4617-91b0-cbb2c73143ca,player_a,2,2,2,1,0,1,left,right,changeup,foul_ball,89.707759,1947.808487,2:00,5.502084,2.262925,6.170115,-27.512729,7.363074,17.13428,1.811598,-0.423338,0.724344432,,,,,,,,foul_ball,43.840582,95.920214,2.145425,66.612962,44.029077,The Diamond
1de9ac16-afb3-4ba9-baa5-3446c9faff0a,player_a,4,1,1,2,0,0,left,right,slider,strike_called,84.41702,2432.786233,9:00,5.50737,2.2388,5.55054,-38.74598,1.43565,-12.05578,1.95803,-0.5367,0.747524679,666310,0,0,0,666310,0,,,,,,,,CanalPark
